Time Stamp,pos X,pos Y,speed X,speed Y
372,821.4574795784521,453.95440794172407,-5,-5
373,816.4574795784521,448.95440794172407,-5,-5
374,811.4574795784521,443.95440794172407,-5,-5
375,806.4574795784521,438.95440794172407,-5,-5
376,801.4574795784521,433.95440794172407,-5,-5
377,796.4574795784521,428.95440794172407,-5,-5
378,791.4574795784521,423.95440794172407,-5,-5
379,786.4574795784521,418.95440794172407,-5,-5
380,781.4574795784521,413.95440794172407,-5,-5
381,776.4574795784521,408.95440794172407,-5,-5
382,771.4574795784521,403.95440794172407,-5,-5
383,766.4574795784521,398.95440794172407,-5,-5
384,761.4574795784521,393.95440794172407,-5,-5
385,756.4574795784521,388.95440794172407,-5,-5
386,751.4574795784521,383.95440794172407,-5,-5
387,746.4574795784521,378.95440794172407,-5,-5
388,741.4574795784521,373.95440794172407,-5,-5
389,736.4574795784521,368.95440794172407,-5,-5
390,731.4574795784521,363.95440794172407,-5,-5
391,726.4574795784521,358.95440794172407,-5,-5
392,721.4574795784521,353.95440794172407,-5,-5
393,716.4574795784521,348.95440794172407,-5,-5
394,711.4574795784521,343.95440794172407,-5,-5
395,706.4574795784521,338.95440794172407,-5,-5
396,701.4574795784521,333.95440794172407,-5,-5
397,696.4574795784521,328.95440794172407,-5,-5
398,691.4574795784521,323.95440794172407,-5,-5
399,686.4574795784521,318.95440794172407,-5,-5
400,681.4574795784521,313.95440794172407,-5,-5
401,676.4574795784521,308.95440794172407,-5,-5
402,671.4574795784521,303.95440794172407,-5,-5
403,666.4574795784521,298.95440794172407,-5,-5
404,661.4574795784521,293.95440794172407,-5,-5
405,656.4574795784521,288.95440794172407,-5,-5
406,651.4574795784521,283.95440794172407,-5,-5
407,646.4574795784521,278.95440794172407,-5,-5
408,641.4574795784521,273.95440794172407,-5,-5
409,636.4574795784521,268.95440794172407,-5,-5
410,631.4574795784521,263.95440794172407,-5,-5
411,626.4574795784521,258.95440794172407,-5,-5
412,621.4574795784521,253.95440794172407,-5,-5
413,616.4574795784521,248.95440794172407,-5,-5
414,611.4574795784521,243.95440794172407,-5,-5
415,606.4574795784521,238.95440794172407,-5,-5
416,601.4574795784521,233.95440794172407,-5,-5
417,596.4574795784521,228.95440794172407,-5,-5
418,591.4574795784521,223.95440794172407,-5,-5
419,586.4574795784521,218.95440794172407,-5,-5
420,581.4574795784521,213.95440794172407,-5,-5
421,576.4574795784521,208.95440794172407,-5,-5
422,571.4574795784521,203.95440794172407,-5,-5
423,566.4574795784521,198.95440794172407,-5,-5
424,561.4574795784521,193.95440794172407,-5,-5
425,556.4574795784521,188.95440794172407,-5,-5
